loc,title,bedroom,bathroom,parking_space,price
Anambra,Terrace duplex,2.0,2.0,6.0,1569212.473
Osun,Terrace duplex,6.0,2.0,3.0,2192464.802
Ogun,Detached duplex,9.0,4.0,4.0,3954340.291
Niger,Penthouse,3.0,1.0,3.0,1975135.329
Imo,Detached duplex,2.0,1.0,1.0,1743465.232
Rivers,Flat,2.0,1.0,1.0,1671004.047
Abia,Detached duplex,5.0,4.0,6.0,2050983.376
Bayelsa,Townhouse,6.0,4.0,2.0,3482684.79
Benue,Terrace duplex,1.0,1.0,3.0,1136471.731
Lagos,Flat,3.0,1.0,2.0,3840740.335
Kebbi,Mansion,1.0,1.0,3.0,834522.9902
Imo,Flat,1.0,1.0,3.0,1195135.387
Anambra,Townhouse,6.0,5.0,4.0,2692795.939
Gombe,Bungalow,1.0,1.0,3.0,1017936.098
Rivers,Detached duplex,3.0,2.0,2.0,2305989.058
Rivers,Townhouse,6.0,5.0,6.0,3505772.448
Benue,Bungalow,4.0,3.0,4.0,1652670.532
Abia,Mansion,6.0,1.0,2.0,3140597.975
Gombe,Townhouse,3.0,2.0,4.0,1495613.036
Enugu,Detached duplex,7.0,7.0,4.0,3346008.951
Jigawa,Semi-detached duplex,1.0,1.0,4.0,931669.1302
Bayelsa,Townhouse,4.0,1.0,3.0,2516769.89
Zamfara,Semi-detached duplex,2.0,1.0,2.0,1032001.738
Imo,Bungalow,4.0,1.0,4.0,1422912.238
Yobe,Semi-detached duplex,2.0,1.0,4.0,1107413.954
Nasarawa,Bungalow,4.0,2.0,4.0,1558301.284
Kebbi,Bungalow,1.0,1.0,2.0,853773.1773
Bayelsa,Penthouse,1.0,1.0,1.0,2558839.358
Yobe,Detached duplex,1.0,1.0,3.0,1034755.841
Anambra,Mansion,6.0,3.0,5.0,4623665.195
Nasarawa,Flat,9.0,4.0,4.0,2729372.316
Zamfara,Semi-detached duplex,5.0,4.0,3.0,1697199.833
Kwara,Flat,9.0,2.0,5.0,2481121.686
Katsina,Apartment,9.0,4.0,6.0,2352965.312
Akwa Ibom,Penthouse,4.0,1.0,2.0,2970083.038
Bayelsa,Flat,4.0,1.0,2.0,2215085.181
Jigawa,Bungalow,8.0,1.0,4.0,1991188.827
Delta,Townhouse,6.0,2.0,2.0,3101954.274
Oyo,Mansion,7.0,4.0,6.0,5149330.701
Enugu,Flat,4.0,3.0,4.0,1810802.742
Nasarawa,Cottage,2.0,1.0,4.0,1394147.99
Sokoto,Townhouse,2.0,1.0,2.0,1300597.003
Bayelsa,Detached duplex,5.0,1.0,1.0,3232095.711
Akwa Ibom,Penthouse,9.0,2.0,3.0,4642589.355
Bauchi,Apartment,2.0,1.0,3.0,889044.7477
Yobe,Bungalow,5.0,4.0,3.0,1612536.9
Cross River,Semi-detached duplex,3.0,2.0,3.0,2021721.714
Ogun,Apartment,9.0,5.0,6.0,2946173.11
Yobe,Terrace duplex,3.0,2.0,6.0,1416950.981
Kogi,Penthouse,2.0,1.0,6.0,1891074.467
Kogi,Mansion,6.0,5.0,2.0,3808731.495
Imo,Bungalow,5.0,1.0,4.0,1657537.213
Cross River,Terrace duplex,2.0,1.0,3.0,1464855.708
Nasarawa,Penthouse,3.0,2.0,4.0,2344166.517
Jigawa,Semi-detached duplex,4.0,2.0,4.0,1385992.295
Lagos,Penthouse,8.0,7.0,2.0,6336262.513
Niger,Apartment,3.0,3.0,6.0,1232069.776
Adamawa,Bungalow,2.0,2.0,4.0,1118895.392
Abia,Apartment,1.0,1.0,3.0,723732.5162
Yobe,Penthouse,9.0,1.0,4.0,2997190.454
Sokoto,Bungalow,7.0,2.0,4.0,1886849.477
Ebonyi,Cottage,5.0,2.0,1.0,1087627.953
Anambra,Apartment,6.0,4.0,2.0,2014725.407
Katsina,Mansion,2.0,2.0,1.0,2296502.316
Lagos,Mansion,8.0,5.0,2.0,8593197.387
Kano,Bungalow,9.0,7.0,3.0,2811670.496
Ogun,Penthouse,5.0,2.0,3.0,3195932.936
Ekiti,Apartment,4.0,2.0,2.0,1469848.315
Oyo,Townhouse,3.0,2.0,1.0,1831111.994
Kogi,Detached duplex,7.0,5.0,3.0,2692598.525
Kogi,Terrace duplex,3.0,2.0,4.0,1216396.499
Oyo,Mansion,3.0,2.0,1.0,4357929.449
Anambra,Detached duplex,8.0,1.0,1.0,3177279.419
Imo,Semi-detached duplex,9.0,5.0,4.0,3001242.07
Oyo,Bungalow,4.0,3.0,5.0,1954061.906
Kwara,Semi-detached duplex,2.0,1.0,4.0,1274677.109
Benue,Mansion,1.0,1.0,2.0,2272379.087
Kogi,Terrace duplex,6.0,2.0,5.0,2056455.777
Kogi,Penthouse,5.0,1.0,2.0,2007956.992
Nasarawa,Penthouse,6.0,5.0,4.0,3133746.415
Kebbi,Terrace duplex,6.0,6.0,4.0,1991086.164
Ogun,Detached duplex,5.0,4.0,1.0,2950483.862
Delta,Semi-detached duplex,3.0,1.0,3.0,1793117.724
Katsina,Mansion,1.0,1.0,2.0,2963837.234
Niger,Flat,5.0,2.0,4.0,1472503.217
Enugu,Townhouse,6.0,4.0,1.0,2611318.638
Kogi,Detached duplex,9.0,1.0,4.0,3013000.388
Nasarawa,Bungalow,5.0,5.0,4.0,1888139.029
Ebonyi,Penthouse,4.0,2.0,1.0,1913201.079
Bauchi,Flat,5.0,1.0,2.0,1366599.02
Imo,Bungalow,2.0,1.0,4.0,1298311.633
Cross River,Semi-detached duplex,4.0,2.0,3.0,2053788.798
Katsina,Townhouse,7.0,6.0,1.0,2494268.203
Borno,Mansion,4.0,4.0,4.0,2847927.368
Delta,Mansion,3.0,1.0,2.0,5346209.453
Zamfara,Flat,5.0,4.0,2.0,1594483.223
Nasarawa,Bungalow,1.0,1.0,4.0,1018018.299
Nasarawa,Terrace duplex,4.0,1.0,4.0,1749621.477
Kwara,Mansion,2.0,2.0,3.0,1447774.134
Ogun,Terrace duplex,2.0,1.0,1.0,1791920.864
Osun,Apartment,6.0,1.0,1.0,1754927.966
Akwa Ibom,Terrace duplex,3.0,2.0,3.0,2165072.936
Enugu,Semi-detached duplex,2.0,1.0,3.0,1347537.705
Bauchi,Townhouse,1.0,1.0,3.0,931977.3105
Kaduna,Detached duplex,1.0,1.0,3.0,1244327.98
Delta,Semi-detached duplex,9.0,5.0,3.0,3781399.545
Kaduna,Apartment,2.0,1.0,6.0,1007380.972
Zamfara,Penthouse,9.0,5.0,2.0,3204954.871
Kebbi,Semi-detached duplex,1.0,1.0,2.0,698734.1093
Cross River,Flat,4.0,2.0,3.0,1862522.587
Ebonyi,Penthouse,5.0,1.0,3.0,2115336.706
Oyo,Apartment,6.0,1.0,5.0,1980258.393
Bayelsa,Flat,4.0,2.0,4.0,2302863.324
Jigawa,Detached duplex,2.0,1.0,4.0,1277087.223
Cross River,Apartment,4.0,2.0,1.0,1663710.445
Niger,Detached duplex,6.0,5.0,2.0,2521415.693
Taraba,Mansion,9.0,2.0,6.0,4743692.653
Kebbi,Semi-detached duplex,2.0,1.0,2.0,1124507.943
Ondo,Cottage,3.0,2.0,2.0,1605268.623
Edo,Terrace duplex,6.0,5.0,3.0,2507471.944
Oyo,Penthouse,3.0,3.0,6.0,2534579.732
Taraba,Townhouse,7.0,3.0,6.0,2506928.88
Bauchi,Mansion,5.0,4.0,4.0,3176906.128
Kebbi,Detached duplex,2.0,1.0,4.0,1427838.076
Niger,Penthouse,7.0,2.0,5.0,2978426.56
Plateau,Cottage,4.0,2.0,3.0,1119031.652
Bauchi,Townhouse,8.0,5.0,4.0,2504057.683
Niger,Townhouse,8.0,1.0,3.0,2570391.75
Gombe,Apartment,1.0,1.0,2.0,954054.592
Sokoto,Detached duplex,5.0,1.0,3.0,1727871.213
Ogun,Flat,5.0,2.0,3.0,2153224.277
Benue,Penthouse,6.0,4.0,2.0,2727734.25
Delta,Penthouse,4.0,1.0,1.0,2899796.196
Rivers,Bungalow,4.0,2.0,3.0,2123953.985
Ebonyi,Semi-detached duplex,1.0,1.0,6.0,1126275.84
Nasarawa,Flat,5.0,1.0,1.0,1647903.197
Bauchi,Bungalow,2.0,1.0,2.0,1044145.787
Nasarawa,Detached duplex,7.0,6.0,3.0,2931613.267
Oyo,Semi-detached duplex,2.0,1.0,4.0,1730907.349
Kwara,Townhouse,2.0,1.0,3.0,1490576.396
Adamawa,Detached duplex,4.0,1.0,3.0,1811437.554
Kaduna,Penthouse,7.0,4.0,6.0,3114065.837
Plateau,Semi-detached duplex,3.0,3.0,5.0,1490270.353
Borno,Terrace duplex,1.0,1.0,3.0,1064789.947
Lagos,Townhouse,3.0,2.0,3.0,3294442.905
Oyo,Mansion,9.0,1.0,6.0,5618725.557
Enugu,Semi-detached duplex,1.0,1.0,4.0,1344354.753
Ekiti,Townhouse,2.0,1.0,6.0,1745414.769
Oyo,Cottage,2.0,1.0,2.0,973124.3946
Edo,Semi-detached duplex,4.0,3.0,6.0,2184723.398
Bauchi,Penthouse,2.0,1.0,1.0,1615069.28
Niger,Apartment,9.0,2.0,5.0,2279928.778
Imo,Bungalow,6.0,6.0,4.0,2150571.219
Borno,Detached duplex,2.0,2.0,2.0,1230025.515
Katsina,Cottage,4.0,1.0,4.0,1460385.056
Rivers,Bungalow,1.0,1.0,6.0,1813920.553
Akwa Ibom,Terrace duplex,1.0,1.0,1.0,1663992.469
Imo,Cottage,3.0,1.0,3.0,1467857.085
Enugu,Detached duplex,2.0,1.0,3.0,1686597.156
Bayelsa,Townhouse,1.0,1.0,3.0,2052523.485
Taraba,Detached duplex,7.0,6.0,4.0,2764298.55
Niger,Townhouse,4.0,2.0,3.0,1680463.349
Katsina,Penthouse,2.0,1.0,1.0,1569198.276
Ondo,Penthouse,4.0,1.0,6.0,2685123.238
Zamfara,Detached duplex,2.0,2.0,4.0,1326707.486
Imo,Mansion,3.0,2.0,4.0,3424134.735
Bayelsa,Bungalow,3.0,2.0,5.0,2290953.886
Borno,Apartment,5.0,4.0,3.0,1450447.288
Delta,Detached duplex,5.0,3.0,2.0,2962917.954
Osun,Mansion,5.0,2.0,2.0,4776367.201
Enugu,Terrace duplex,1.0,1.0,2.0,1192142.063
Plateau,Townhouse,1.0,1.0,6.0,1176460.425
Ebonyi,Detached duplex,9.0,4.0,1.0,2783236.357
Edo,Detached duplex,5.0,1.0,1.0,2354394.038
Abia,Detached duplex,4.0,3.0,4.0,1830909.636
Ebonyi,Apartment,7.0,4.0,2.0,1748679.812
Yobe,Apartment,4.0,2.0,4.0,1153863.406
Nasarawa,Bungalow,5.0,5.0,5.0,1958408.62
Adamawa,Mansion,2.0,1.0,2.0,2569140.861
Cross River,Mansion,1.0,1.0,4.0,3132091.556
Katsina,Townhouse,6.0,5.0,3.0,2367927.861
Nasarawa,Cottage,4.0,1.0,1.0,1129418.422
Imo,Mansion,8.0,5.0,4.0,5018797.135
Imo,Mansion,9.0,7.0,4.0,5368036.918
Kogi,Mansion,5.0,5.0,1.0,3444015.313
Plateau,Penthouse,5.0,2.0,3.0,2445227.489
Lagos,Semi-detached duplex,2.0,1.0,4.0,2534802.864
Bayelsa,Penthouse,1.0,1.0,1.0,2469759.308
Ebonyi,Detached duplex,2.0,2.0,1.0,1178802.429
Osun,Mansion,4.0,1.0,1.0,4335301.233
Anambra,Townhouse,3.0,2.0,3.0,1859993.419
Niger,Flat,2.0,1.0,2.0,1233878.415
Edo,Bungalow,5.0,5.0,6.0,2152774.653
Kaduna,Terrace duplex,6.0,1.0,2.0,1950945.726
Plateau,Bungalow,5.0,2.0,4.0,1675273.185
Benue,Flat,1.0,1.0,4.0,871816.0686
Anambra,Cottage,2.0,1.0,2.0,1008065.394
Cross River,Flat,4.0,3.0,4.0,2100982.871
Katsina,Apartment,2.0,1.0,6.0,1062199.464
Enugu,Penthouse,8.0,1.0,3.0,3701155.998
Ebonyi,Cottage,5.0,1.0,2.0,1052253.226
Anambra,Mansion,5.0,1.0,3.0,2391577.038
Yobe,Bungalow,2.0,1.0,1.0,915602.6586
Kogi,Townhouse,5.0,1.0,4.0,1944098.841
Kogi,Cottage,4.0,2.0,2.0,954471.7071
Adamawa,Apartment,3.0,2.0,2.0,1186606.853
Delta,Flat,7.0,6.0,3.0,2925020.642
Kaduna,Townhouse,4.0,1.0,3.0,1566541.374
Yobe,Detached duplex,9.0,5.0,2.0,2845973.878
Delta,Semi-detached duplex,9.0,2.0,3.0,3517413.093
Delta,Flat,1.0,1.0,4.0,1436562.752
Edo,Bungalow,7.0,6.0,4.0,2572345.527
Kano,Bungalow,5.0,1.0,4.0,1648695.428
Jigawa,Terrace duplex,7.0,2.0,3.0,2020608.451
Borno,Mansion,2.0,1.0,5.0,2527316.388
Lagos,Semi-detached duplex,9.0,7.0,2.0,4994274.085
Kano,Penthouse,2.0,1.0,4.0,1974746.973
Lagos,Apartment,4.0,1.0,1.0,3759801.228
Sokoto,Bungalow,9.0,4.0,2.0,2280093.143
Jigawa,Semi-detached duplex,3.0,1.0,4.0,1144650.498
Kaduna,Bungalow,5.0,2.0,1.0,1612811.326
Kebbi,Flat,1.0,1.0,3.0,587975.7395
Ebonyi,Semi-detached duplex,5.0,3.0,4.0,1686859.729
Gombe,Detached duplex,2.0,1.0,4.0,1437447.494
Imo,Cottage,3.0,1.0,2.0,1419129.209
Lagos,Terrace duplex,2.0,1.0,1.0,3771720.039
Sokoto,Apartment,6.0,5.0,4.0,1614261.469
Borno,Townhouse,2.0,2.0,2.0,1163756.23
Kwara,Apartment,5.0,2.0,4.0,1521282.324
Osun,Bungalow,2.0,1.0,3.0,1236750.649
Gombe,Mansion,1.0,1.0,4.0,2073690.932
Oyo,Detached duplex,5.0,2.0,3.0,2309804.736
Benue,Penthouse,4.0,2.0,5.0,2233768.356
Bauchi,Penthouse,3.0,2.0,3.0,1714726.638
Nasarawa,Mansion,4.0,3.0,5.0,3786642.621
Plateau,Apartment,2.0,2.0,2.0,1032769.52
Kano,Terrace duplex,3.0,1.0,4.0,1404704.017
Abia,Penthouse,1.0,1.0,2.0,1477469.589
Delta,Detached duplex,5.0,2.0,4.0,2810567.78
Enugu,Terrace duplex,3.0,2.0,3.0,1874835.029
Anambra,Penthouse,5.0,1.0,3.0,2973250.142
Oyo,Townhouse,4.0,2.0,3.0,1904262.755
Jigawa,Apartment,3.0,2.0,4.0,1052994.711
Ebonyi,Penthouse,2.0,1.0,5.0,1733486.555
Benue,Detached duplex,9.0,1.0,3.0,3013000.388
Rivers,Flat,6.0,5.0,2.0,2913971.163
Ekiti,Penthouse,7.0,4.0,1.0,3231408.677
Ebonyi,Semi-detached duplex,1.0,1.0,5.0,1044109.739
Kebbi,Mansion,6.0,5.0,3.0,3660983.279
Kebbi,Detached duplex,4.0,2.0,1.0,1188931.073
Sokoto,Detached duplex,5.0,4.0,1.0,1925734.336
Delta,Detached duplex,9.0,4.0,4.0,4277533.898
Imo,Bungalow,2.0,1.0,5.0,1403821.683
Jigawa,Penthouse,2.0,1.0,4.0,1659342.212
Cross River,Semi-detached duplex,3.0,1.0,3.0,1795401.719
Cross River,Apartment,2.0,1.0,2.0,1340050.746
Zamfara,Terrace duplex,3.0,2.0,3.0,1249492.919
Bauchi,Apartment,9.0,5.0,2.0,2128011.892
Ondo,Bungalow,5.0,1.0,3.0,1918073.067
Kano,Detached duplex,9.0,5.0,4.0,3474500.659
Bauchi,Detached duplex,4.0,3.0,3.0,1881235.254
Oyo,Cottage,1.0,1.0,4.0,1336531.533
Oyo,Terrace duplex,7.0,4.0,6.0,2782743.65
Taraba,Townhouse,5.0,2.0,2.0,1931203.358
Bauchi,Flat,9.0,5.0,3.0,2325720.431
Kano,Townhouse,4.0,1.0,2.0,1835068.087
Ogun,Apartment,1.0,1.0,5.0,1298343.831
Bayelsa,Detached duplex,9.0,5.0,6.0,5020767.804
Ekiti,Semi-detached duplex,3.0,2.0,3.0,1764692.376
Kano,Detached duplex,4.0,2.0,1.0,2014038.54
Rivers,Mansion,5.0,2.0,1.0,4956750.39
Ondo,Penthouse,7.0,3.0,4.0,3581166.097
Taraba,Semi-detached duplex,8.0,6.0,1.0,2518825.372
Benue,Semi-detached duplex,8.0,3.0,6.0,2530219.98
Akwa Ibom,Bungalow,3.0,2.0,3.0,1746292.018
Borno,Apartment,2.0,1.0,3.0,877708.4227
Bayelsa,Townhouse,5.0,2.0,1.0,2887455.879
Zamfara,Apartment,3.0,2.0,2.0,1069079.317
Kogi,Apartment,6.0,3.0,3.0,1766596.453
Anambra,Detached duplex,4.0,3.0,2.0,2504692.664
Abia,Townhouse,3.0,2.0,3.0,1444434.478
Yobe,Detached duplex,1.0,1.0,3.0,1172868.788
Kaduna,Terrace duplex,8.0,6.0,3.0,2565671.766
Delta,Semi-detached duplex,6.0,1.0,3.0,2688170.373
Abia,Terrace duplex,2.0,1.0,5.0,1093487.63
Enugu,Penthouse,9.0,7.0,3.0,4459106.216
Yobe,Penthouse,1.0,1.0,4.0,1443417.072
Jigawa,Penthouse,9.0,2.0,4.0,3160147.753
Kano,Penthouse,3.0,1.0,4.0,2115103.533
Yobe,Flat,8.0,1.0,2.0,2009406.869
Ebonyi,Mansion,4.0,2.0,2.0,1503257.335
Gombe,Terrace duplex,3.0,2.0,2.0,871341.9304
Rivers,Apartment,9.0,4.0,1.0,3130810.528
Ogun,Townhouse,5.0,1.0,3.0,2624865.818
Jigawa,Terrace duplex,5.0,2.0,3.0,1635529.03
Edo,Cottage,4.0,2.0,2.0,1738971.602
Rivers,Detached duplex,8.0,7.0,1.0,4322061.361
Niger,Terrace duplex,2.0,2.0,2.0,1254437.349
Oyo,Bungalow,6.0,2.0,6.0,2250224.857
Kaduna,Townhouse,3.0,1.0,1.0,1366152.084
Ebonyi,Penthouse,3.0,2.0,3.0,1892928.9
Edo,Terrace duplex,2.0,1.0,3.0,1657577.779
Enugu,Detached duplex,1.0,1.0,2.0,1585331.253
Kano,Terrace duplex,7.0,4.0,4.0,2437995.332
Ondo,Penthouse,5.0,2.0,1.0,2878266.279
Zamfara,Terrace duplex,4.0,1.0,1.0,1309552.667
Jigawa,Detached duplex,4.0,3.0,1.0,1831135.638
Enugu,Mansion,2.0,1.0,3.0,3079789.089
Kebbi,Apartment,5.0,2.0,3.0,1370599.534
Cross River,Mansion,4.0,2.0,1.0,2367004.939
Delta,Bungalow,6.0,2.0,2.0,2465992.906
Borno,Penthouse,8.0,2.0,1.0,2804491.272
Ebonyi,Flat,7.0,7.0,3.0,2005677.664
Gombe,Flat,6.0,5.0,2.0,1920225.169
Ebonyi,Flat,3.0,1.0,2.0,1056492.836
Ekiti,Bungalow,2.0,1.0,4.0,1380398.486
Katsina,Detached duplex,1.0,1.0,3.0,1416614.668
Yobe,Flat,3.0,2.0,6.0,1286888.268
Kano,Apartment,8.0,7.0,5.0,2411934.911
Plateau,Mansion,3.0,2.0,6.0,3070605.471
Kogi,Townhouse,6.0,2.0,2.0,2120095.984
Kaduna,Penthouse,1.0,1.0,1.0,1492044.363
Rivers,Mansion,9.0,2.0,4.0,7083409.472
Enugu,Mansion,5.0,5.0,2.0,4255993.782
Gombe,Penthouse,2.0,1.0,2.0,1153164.231
Ekiti,Townhouse,3.0,2.0,2.0,1661927.502
Kebbi,Terrace duplex,1.0,1.0,3.0,618534.9943
Oyo,Bungalow,2.0,1.0,2.0,1314706.311
Taraba,Semi-detached duplex,2.0,1.0,3.0,1128749.209
Bauchi,Flat,8.0,3.0,2.0,2082443.403
Nasarawa,Bungalow,3.0,3.0,6.0,1513693.55
Osun,Townhouse,1.0,1.0,4.0,1285796.761
Kwara,Penthouse,1.0,1.0,3.0,1616081.671
Ekiti,Flat,9.0,3.0,4.0,2647285.463
Kwara,Semi-detached duplex,5.0,5.0,5.0,1958408.62
Kebbi,Terrace duplex,1.0,1.0,4.0,677254.0868
Katsina,Apartment,7.0,6.0,6.0,2032922.545
Kebbi,Detached duplex,3.0,2.0,5.0,1614338.885
Zamfara,Townhouse,4.0,2.0,2.0,1397260.602
Abia,Terrace duplex,4.0,3.0,5.0,1642547.064
Kwara,Cottage,5.0,1.0,3.0,1713635.108
Bayelsa,Apartment,8.0,4.0,2.0,3089483.847
Borno,Penthouse,9.0,3.0,2.0,3115874.822
Osun,Mansion,3.0,1.0,2.0,2866328.101
Kaduna,Detached duplex,4.0,4.0,4.0,2000396.207
Adamawa,Apartment,3.0,2.0,4.0,1071901.893
Cross River,Townhouse,4.0,1.0,3.0,2170398.662
Taraba,Semi-detached duplex,9.0,5.0,3.0,2741189.578
Borno,Bungalow,2.0,2.0,2.0,938005.113
Katsina,Bungalow,6.0,5.0,2.0,1920225.169
Kebbi,Terrace duplex,3.0,3.0,4.0,1293794.285
Abia,Terrace duplex,2.0,1.0,2.0,1040363.845
Niger,Townhouse,4.0,1.0,3.0,1601708.847
Ekiti,Flat,2.0,2.0,1.0,1104629.485
Borno,Semi-detached duplex,4.0,2.0,2.0,1406388.866
Rivers,Cottage,4.0,1.0,4.0,2302161.768
Bayelsa,Terrace duplex,3.0,1.0,2.0,2289113.716
Kaduna,Mansion,2.0,1.0,3.0,1391158.858
Ekiti,Bungalow,3.0,2.0,5.0,1525510.812
Ebonyi,Townhouse,7.0,2.0,4.0,2195358.02
Osun,Semi-detached duplex,2.0,1.0,1.0,1414928.824
Kebbi,Mansion,1.0,1.0,6.0,2235206.44
Bauchi,Bungalow,1.0,1.0,2.0,794622.1498
Imo,Bungalow,2.0,2.0,4.0,1210125.67
Edo,Flat,6.0,2.0,6.0,2250224.857
Osun,Townhouse,1.0,1.0,3.0,1447227.478
Enugu,Detached duplex,2.0,1.0,3.0,2027365.987
Niger,Semi-detached duplex,3.0,1.0,2.0,1349519.844
Yobe,Townhouse,2.0,1.0,2.0,1170519.649
Ondo,Penthouse,6.0,5.0,3.0,3378896.797
Bauchi,Townhouse,7.0,1.0,4.0,2161096.463
Niger,Bungalow,9.0,6.0,1.0,2523138.618
Niger,Detached duplex,7.0,3.0,4.0,2635083.533
Ondo,Terrace duplex,3.0,2.0,2.0,1640074.741
Sokoto,Apartment,8.0,3.0,6.0,1965106.458
Edo,Bungalow,5.0,3.0,5.0,2048436.747
Ondo,Mansion,1.0,1.0,3.0,2977310.302
Delta,Townhouse,2.0,2.0,2.0,1868431.913
Imo,Townhouse,8.0,3.0,3.0,2884645.747
Bauchi,Bungalow,3.0,2.0,4.0,1168224.446
Ogun,Terrace duplex,6.0,6.0,2.0,2719791.271
Nasarawa,Mansion,2.0,1.0,4.0,3038354.983
Kano,Bungalow,1.0,1.0,1.0,1089625.337
Kebbi,Flat,4.0,2.0,4.0,922717.9491
Kaduna,Townhouse,6.0,6.0,3.0,2354797.57
Bayelsa,Flat,9.0,2.0,4.0,3651843.054
Imo,Flat,3.0,2.0,4.0,1342070.774
Adamawa,Bungalow,4.0,2.0,2.0,1407164.172
Gombe,Mansion,2.0,2.0,4.0,994847.6247
Kwara,Detached duplex,3.0,2.0,5.0,1723617.301
Ebonyi,Detached duplex,3.0,2.0,4.0,1614564.887
Kano,Detached duplex,4.0,3.0,6.0,2368895.545
Imo,Bungalow,5.0,5.0,5.0,1958408.62
Benue,Apartment,3.0,1.0,6.0,1177251.284
Delta,Penthouse,2.0,1.0,2.0,2785390.979
Yobe,Detached duplex,6.0,1.0,1.0,2023408.398
Taraba,Detached duplex,4.0,1.0,5.0,1899809.542
Zamfara,Townhouse,7.0,3.0,3.0,2206847.025
Edo,Apartment,8.0,7.0,6.0,2618125.903
Bayelsa,Townhouse,5.0,1.0,3.0,2988232.271
Ondo,Semi-detached duplex,7.0,4.0,4.0,2724185.658
Oyo,Penthouse,6.0,1.0,3.0,3124382.371
Kogi,Terrace duplex,6.0,3.0,4.0,2021426.644
Borno,Flat,4.0,3.0,3.0,1461717.076
Bauchi,Bungalow,5.0,3.0,2.0,1548691.57
Niger,Apartment,4.0,1.0,4.0,1328970.335
Plateau,Penthouse,3.0,2.0,1.0,2019447.984
Gombe,Semi-detached duplex,2.0,1.0,3.0,1392215.748
Delta,Mansion,8.0,4.0,6.0,6474758.656
Zamfara,Penthouse,3.0,3.0,6.0,1848121.783
Delta,Penthouse,4.0,2.0,2.0,2991062.296
Borno,Penthouse,7.0,3.0,2.0,2702660.859
Imo,Flat,5.0,1.0,1.0,1616399.385
Delta,Apartment,7.0,3.0,4.0,2544980.432
Ondo,Bungalow,2.0,1.0,3.0,1347082.424
